BASE_DE,GID_ID,GID_LO,GID_LA,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,ADSTRD_CD,ADSTRD_NM,WKDAY_NM,MVMN_TIME,SEXDSTN_FLAG_CD,AGRDE_CO,PDSTRN_POPLTN_CO,PDSTRN_ELSE_POPLTN_CO
20201109,"83,752,407",127.0650101,37.83763886,41,경기도,4163,양주시,41630530,회천1동,월,14,M,1,22,7
20201109,"85,559,534",127.1309204,37.4953537,11,서울특별시,1171,송파구,11710632,가락2동,월,13,F,4,13,8
20201109,"85,159,061",127.1179199,37.27087021,41,경기도,4146,용인시,41463520,구갈동,월,20,F,6,4,3
20201109,"73,368,336",126.6997375,37.51124954,28,인천광역시,2823,부평구,28237570,산곡1동,월,20,F,1,5,3
20201109,"85,735,609",127.1369553,37.53413391,11,서울특별시,1174,강동구,11740660,성내3동,월,17,F,2,22,5
20201109,"85,735,609",127.1369553,37.53413391,11,서울특별시,1174,강동구,11740660,성내3동,월,14,M,6,11,12
20201109,"85,559,534",127.1309204,37.4953537,11,서울특별시,1171,송파구,11710632,가락2동,월,19,F,1,19,11
20201116,"83,063,903",127.042099,37.59103775,11,서울특별시,1123,동대문구,11230705,청량리동,월,9,M,7,8,5
20201106,"83,527,872",127.0585251,37.59019852,11,서울특별시,1123,동대문구,11230720,휘경1동,금,19,F,4,14,23
20201106,"83,527,872",127.0585251,37.59019852,11,서울특별시,1123,동대문구,11230720,휘경1동,금,15,M,4,9,10
20201106,"83,447,113",127.057724,37.2458725,41,경기도,4111,수원시,41117580,영통2동,금,4,M,3,13,4
20201106,"103,159,221",127.7543335,37.85033417,42,강원도,4211,춘천시,42110390,동내면,금,21,M,5,8,7
20201106,"83,447,113",127.057724,37.2458725,41,경기도,4111,수원시,41117580,영통2동,금,12,F,2,15,25
20201106,"83,447,113",127.057724,37.2458725,41,경기도,4111,수원시,41117580,영통2동,금,21,F,1,13,23
20201106,"83,527,872",127.0585251,37.59019852,11,서울특별시,1123,동대문구,11230720,휘경1동,금,21,F,4,13,14
20201106,"83,447,113",127.057724,37.2458725,41,경기도,4111,수원시,41117580,영통2동,금,2,M,3,13,8
20201106,"83,527,872",127.0585251,37.59019852,11,서울특별시,1123,동대문구,11230720,휘경1동,금,11,F,1,15,9
20201106,"103,159,221",127.7543335,37.85033417,42,강원도,4211,춘천시,42110390,동내면,금,16,M,3,8,8
20201106,"83,447,113",127.057724,37.2458725,41,경기도,4111,수원시,41117580,영통2동,금,11,F,4,12,23
20201106,"83,527,872",127.0585251,37.59019852,11,서울특별시,1123,동대문구,11230720,휘경1동,금,13,F,1,5,14
20201108,"82,615,251",127.0281677,37.2845192,41,경기도,4111,수원시,41115710,우만1동,일,11,M,7,8,21
20201108,"82,487,744",127.0222702,37.50307846,11,서울특별시,1165,서초구,11650531,서초4동,일,20,M,3,15,14
20201108,"80,647,370",126.9588013,37.2824173,41,경기도,4111,수원시,41113700,입북동,일,23,M,1,8,3
20201108,"82,615,251",127.0281677,37.2845192,41,경기도,4111,수원시,41115710,우만1동,일,15,M,5,11,29
20201108,"82,615,251",127.0281677,37.2845192,41,경기도,4111,수원시,41115710,우만1동,일,13,F,6,10,34
20201108,"79,624,151",126.9202194,37.60537338,11,서울특별시,1138,은평구,11380625,역촌동,일,5,F,2,13,4
20201108,"79,624,151",126.9202194,37.60537338,11,서울특별시,1138,은평구,11380625,역촌동,일,10,M,5,6,7
20201108,"82,487,744",127.0222702,37.50307846,11,서울특별시,1165,서초구,11650531,서초4동,일,17,F,6,6,4
20201108,"148,319,347",129.304306,35.56040192,31,울산광역시,3111,중구,31110600,태화동,일,22,M,1,5,5
20201108,"82,615,251",127.0281677,37.2845192,41,경기도,4111,수원시,41115710,우만1동,일,0,F,2,13,10
20201108,"82,615,251",127.0281677,37.2845192,41,경기도,4111,수원시,41115710,우만1동,일,2,M,1,5,5
20201108,"82,487,744",127.0222702,37.50307846,11,서울특별시,1165,서초구,11650531,서초4동,일,21,M,5,12,6
20201108,"82,487,744",127.0222702,37.50307846,11,서울특별시,1165,서초구,11650531,서초4동,일,19,M,5,14,7
20201111,"83,559,754",127.059967,37.53792572,11,서울특별시,1120,성동구,11200670,성수2가1동,수,23,M,2,16,9
20201111,"83,559,754",127.059967,37.53792572,11,서울특별시,1120,성동구,11200670,성수2가1동,수,16,M,4,36,23
20201111,"79,272,085",126.9080734,37.56565475,11,서울특별시,1144,마포구,11440730,성산2동,수,23,M,3,17,3
20201111,"72,808,258",126.6804962,37.46018982,28,인천광역시,2817,미추홀구,28177620,주안1동,수,7,F,6,27,5
